captured_at	kick_off	min_to_ko	type	match	bet	odds	confidence	change	opening	reason
17:53:20	18:00	7	STEAM	Avranches vs Saumur Olympique	2 (Saumur Olympique)	2.87	80%	-12.5%	3.28				Steam move: odds dropped -12.5% | Sustained odds drop: 3.28 → 2.87 (-12.5%) | Strong drop >8% | Only 7 min to kick-off — late data is more reliable | 37 snapshots — robust data
17:53:20	18:00	7	STEAM	Dinan vs La Roche	2 (La Roche)	2.15	80%	-6.5%	2.30				Steam move: odds dropped -6.5% | Sustained odds drop: 2.30 → 2.15 (-6.5%) | Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 37 snapshots — robust data
17:53:20	18:00	7	STEAM	Colmar vs Blois	2 (Blois)	3.07	80%	-12.0%	3.49				Steam move: odds dropped -12.0% | Sustained odds drop: 3.49 → 3.07 (-12.0%) | Strong drop >8% | Only 7 min to kick-off — late data is more reliable | 37 snapshots — robust data
17:53:20	18:00	7	STEAM	Thionville vs Haguenau	2 (Haguenau)	4.72	80%	-13.4%	5.45				Steam move: odds dropped -13.4% | Sustained odds drop: 5.45 → 4.72 (-13.4%) | Strong drop >8% | Only 7 min to kick-off — late data is more reliable | 37 snapshots — robust data
17:53:20	18:00	7	STEAM	HSC '21 vs Eemdijk	1 (HSC '21)	5.95	80%	-15.5%	7.04				Steam move: odds dropped -15.5% | Sustained odds drop: 7.04 → 5.95 (-15.5%) | Strong drop >8% | Only 7 min to kick-off — late data is more reliable | 37 snapshots — robust data
17:53:20	18:00	7	STEAM	Gemert vs ASWH	2 (ASWH)	4.08	80%	-23.3%	5.32				Steam move: odds dropped -23.3% | Sustained odds drop: 5.32 → 4.08 (-23.3%) | Strong drop >8% | Only 7 min to kick-off — late data is more reliable | 37 snapshots — robust data
17:53:20	18:00	7	STEAM	SD Logrones vs Sestao	2 (Sestao)	2.21	80%	-11.2%	2.49				Steam move: odds dropped -11.2% | Sustained odds drop: 2.49 → 2.21 (-11.2%) | Strong drop >8% | Only 7 min to kick-off — late data is more reliable | 37 snapshots — robust data
17:53:20	18:00	7	STEAM	Sion vs Luzern	2 (Luzern)	3.03	80%	-5.0%	3.19				Steam move: odds dropped -5.0% | Sustained odds drop: 3.19 → 3.03 (-5.0%) | Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 37 snapshots — robust data
17:53:20	18:00	7	STEAM	Grenoble W vs Reims W	2 (Reims W)	3.47	65%	-6.0%	3.69				Steam move: odds dropped -6.0% | Sustained odds drop: 3.69 → 3.47 (-6.0%) | Only 7 min to kick-off — late data is more reliable | 37 snapshots — robust data
17:53:20	18:00	7	STEAM	Dun. Streda vs Slovan Bratislava	2 (Slovan Bratislava)	3.06	65%	-5.3%	3.23				Steam move: odds dropped -5.3% | Sustained odds drop: 3.23 → 3.06 (-5.3%) | Only 7 min to kick-off — late data is more reliable | 37 snapshots — robust data
17:53:20	18:00	7	SUSTAINED_DROP	Thionville vs Haguenau	X (Draw)	3.36	50%	-8.5%	3.67				Sustained odds drop: 3.67 → 3.36 (-8.5%) | Strong drop >8% | Only 7 min to kick-off — late data is more reliable | 37 snapshots — robust data
17:53:20	18:00	7	LATE_SHARP	Uerdingen vs Sonsbeck	2 (Sonsbeck)	4.50	50%	-4.3%	4.70				Late sharp move detected on 2 | Only 7 min to kick-off — late data is more reliable | 37 snapshots — robust data
