captured_at	kick_off	min_to_ko	match	bet	odds	opening	drop_pct	snapshots	confidence	score	market_consensus	type	reason
01:30:42	LIVE 29''	LIVE	UNAM Pumas W vs Guadalajara Chivas W	1 (UNAM Pumas W)	1.51	1.26	+12.0%	T3	65%	62.2	1:0	LIVE_VALUE	Edge: +12.0% | Model: 79% vs market: 66% | Fair: 1.26 vs offered: 1.51 | Home leading 1:0 | Early (29') | T3
01:31:37	LIVE 62''	LIVE	Orsomarso vs Patriotas	2 (Patriotas)	6.90	5.72	+12.0%	T3	75%	64.8	0:0	LIVE_VALUE	Edge: +12.0% | Model: 17% vs market: 14% | Fair: 5.72 vs offered: 6.90 | Away value in draw | Second half (62') | T3
01:31:37	LIVE 30''	LIVE	UNAM Pumas W vs Guadalajara Chivas W	1 (UNAM Pumas W)	1.52	1.26	+12.0%	T3	65%	62.2	1:0	LIVE_VALUE	Edge: +12.0% | Model: 79% vs market: 66% | Fair: 1.26 vs offered: 1.52 | Home leading 1:0 | Mid-game (30') | T3
01:39:06	LIVE 38''	LIVE	UNAM Pumas W vs Guadalajara Chivas W	1 (UNAM Pumas W)	1.53	1.25	+12.0%	T3	65%	62.2	1:0	LIVE_VALUE	Edge: +12.0% | Model: 80% vs market: 65% | Fair: 1.25 vs offered: 1.53 | Home leading 1:0 | Mid-game (38') | T3
01:40:18	LIVE 39''	LIVE	UNAM Pumas W vs Guadalajara Chivas W	1 (UNAM Pumas W)	1.53	1.24	+12.0%	T3	65%	62.2	1:0	LIVE_VALUE	Edge: +12.0% | Model: 80% vs market: 65% | Fair: 1.24 vs offered: 1.53 | Home leading 1:0 | Mid-game (39') | T3
01:53:50	02:00	6	Santa Ana vs Consultants Desamparados	1 (Santa Ana)	2.15	2.43	-11.5%	313	95%	76.9	DA	STEAM	Steam move: odds dropped -11.5% | Sustained odds drop: 2.43 → 2.15 (-11.5%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 313 snapshots — robust data
02:09:42	LIVE 48''	LIVE	UNAM Pumas W vs Guadalajara Chivas W	1 (UNAM Pumas W)	1.50	1.22	+12.0%	T3	65%	62.2	1:0	LIVE_VALUE	Edge: +12.0% | Model: 82% vs market: 67% | Fair: 1.22 vs offered: 1.50 | Home leading 1:0 | Mid-game (48') | T3
02:16:49	LIVE 52''	LIVE	Manauara vs Parintins	1 (Manauara)	1.21	1.07	+12.0%	T3	65%	62.2	1:0	LIVE_VALUE	Edge: +12.0% | Model: 93% vs market: 83% | Fair: 1.07 vs offered: 1.21 | Home leading 1:0 | Mid-game (52') | T3
02:18:01	LIVE 18''	LIVE	Santa Ana vs Consultants Desamparados	1 (Santa Ana)	1.70	1.40	+18.0%	T4	65%	72.8	1:0	LIVE_VALUE	Edge: +18.0% | Model: 71% vs market: 59% | Fair: 1.40 vs offered: 1.70 | Home leading 1:0 | Early (18') | T4
02:18:01	LIVE 53''	LIVE	Manauara vs Parintins	1 (Manauara)	1.21	1.07	+12.0%	T3	65%	62.2	1:0	LIVE_VALUE	Edge: +12.0% | Model: 93% vs market: 83% | Fair: 1.07 vs offered: 1.21 | Home leading 1:0 | Mid-game (53') | T3
02:24:28	LIVE 63''	LIVE	UNAM Pumas W vs Guadalajara Chivas W	1 (UNAM Pumas W)	1.45	1.17	+12.0%	T3	65%	62.2	1:0	LIVE_VALUE	Edge: +12.0% | Model: 85% vs market: 69% | Fair: 1.17 vs offered: 1.45 | Home leading 1:0 | Second half (63') | T3
02:39:15	LIVE 39''	LIVE	Santa Ana vs Consultants Desamparados	1 (Santa Ana)	1.53	1.34	+14.4%	T4	70%	72.6	1:0	LIVE_VALUE	Edge: +14.4% | Model: 75% vs market: 65% | Fair: 1.34 vs offered: 1.53 | Home leading 1:0 | Mid-game (39') | T4
02:40:15	LIVE 40''	LIVE	Santa Ana vs Consultants Desamparados	1 (Santa Ana)	1.53	1.33	+14.7%	T4	70%	73.2	1:0	LIVE_VALUE	Edge: +14.7% | Model: 75% vs market: 65% | Fair: 1.33 vs offered: 1.53 | Home leading 1:0 | Mid-game (40') | T4
02:42:43	LIVE 43''	LIVE	Santa Ana vs Consultants Desamparados	1 (Santa Ana)	1.55	1.32	+17.2%	T4	70%	77.6	1:0	LIVE_VALUE	Edge: +17.2% | Model: 76% vs market: 65% | Fair: 1.32 vs offered: 1.55 | Home leading 1:0 | Mid-game (43') | T4
02:43:51	LIVE 44''	LIVE	Santa Ana vs Consultants Desamparados	1 (Santa Ana)	1.56	1.32	+18.0%	T4	70%	79.0	1:0	LIVE_VALUE	Edge: +18.0% | Model: 76% vs market: 64% | Fair: 1.32 vs offered: 1.56 | Home leading 1:0 | Mid-game (44') | T4
02:46:23	LIVE 45+''	LIVE	Santa Ana vs Consultants Desamparados	1 (Santa Ana)	1.54	1.31	+17.9%	T4	70%	78.9	1:0	LIVE_VALUE	Edge: +17.9% | Model: 77% vs market: 65% | Fair: 1.31 vs offered: 1.54 | Home leading 1:0 | Mid-game (47') | T4
02:47:18	LIVE 45+''	LIVE	Santa Ana vs Consultants Desamparados	1 (Santa Ana)	1.53	1.31	+17.2%	T4	70%	77.6	1:0	LIVE_VALUE	Edge: +17.2% | Model: 77% vs market: 65% | Fair: 1.31 vs offered: 1.53 | Home leading 1:0 | Mid-game (47') | T4
02:54:26	LIVE 37''	LIVE	Quindio vs Ind. Yumbo	2 (Ind. Yumbo)	5.52	4.55	+12.0%	T3	75%	64.8	0:0	LIVE_VALUE	Edge: +12.0% | Model: 22% vs market: 18% | Fair: 4.55 vs offered: 5.52 | Away value in draw | Mid-game (37') | T3
02:54:26	LIVE 45+''	LIVE	Queretaro W vs Mazatlan FC W	2 (Mazatlan FC W)	1.88	1.55	+12.0%	T3	65%	62.2	0:1	LIVE_VALUE	Edge: +12.0% | Model: 64% vs market: 53% | Fair: 1.55 vs offered: 1.88 | Away leading 0:1 | Mid-game (47') | T3
