captured_at	match_date	days_until	kick_off	match	bet	odds	opening	drop_pct	snapshots	confidence	score	market_consensus	type	stage	reason
10:25:11	2026-02-11	1	20:45	Stratford vs Halesowen	1 (Stratford)	2.87	3.40	-15.6%	989	75%	67.4	NE	LATE_SHARP	early	Late sharp move on 1 | Drop: 3.40 → 2.87 (-15.6%) | Strong drop >8% | 989 snapshots | EARLY
12:45:41	2026-02-14	4	16:00	Portsmouth vs Sheffield Utd	1 (Portsmouth)	3.11	3.72	-16.4%	122	70%	67.2	NE	STEAM	early	Steam move: -16.4% | Drop: 3.72 → 3.11 (-16.4%) | Strong drop >8% | 122 snapshots | EARLY
12:45:41	2026-02-15	5	21:00	Danubio vs Boston River	2 (Boston River)	2.78	3.31	-16.0%	120	70%	66.6	NE	STEAM	early	Steam move: -16.0% | Drop: 3.31 → 2.78 (-16.0%) | Strong drop >8% | 120 snapshots | EARLY
06:16:48	2026-02-16	6	00:30	Ponte Preta vs Sao Paulo	2 (Sao Paulo)	1.27	1.39	-8.6%	68	85%	65.8	DA	STEAM	early	Steam move: -8.6% | Drop: 1.39 → 1.27 (-8.6%) | Strong drop >8% | Market consensus — others rising | 68 snapshots | EARLY
12:45:41	2026-02-12	2	19:30	Univ. Craiova vs FCSB	2 (FCSB)	2.85	3.19	-10.7%	243	95%	65.6	NE	LATE_SHARP	confirmed	Late sharp move on 2 | Steam move: -10.7% | Drop: 3.19 → 2.85 (-10.7%) | Strong drop >8% | 243 snapshots
12:33:53	2026-02-11	1	21:00	Portuguesa RJ vs Nova Iguacu	1 (Portuguesa RJ)	2.42	2.86	-15.4%	463	70%	65.6	NE	STEAM	early	Steam move: -15.4% | Drop: 2.86 → 2.42 (-15.4%) | Strong drop >8% | 463 snapshots | EARLY
12:53:35	2026-02-11	1	03:00	Puntarenas FC vs Herediano	2 (Herediano)	1.95	2.30	-15.2%	314	70%	65.4	NE	STEAM	early	Steam move: -15.2% | Drop: 2.30 → 1.95 (-15.2%) | Strong drop >8% | 314 snapshots | EARLY
12:53:35	2026-02-11	1	13:00	Chanthaburi vs Mahasarakham	2 (Mahasarakham)	2.51	2.95	-14.9%	1246	70%	64.9	NE	STEAM	early	Steam move: -14.9% | Drop: 2.95 → 2.51 (-14.9%) | Strong drop >8% | 1246 snapshots | EARLY
12:53:35	2026-02-11	1	20:45	Stockton vs Prescot	2 (Prescot)	3.26	3.82	-14.7%	1180	70%	64.5	NE	STEAM	early	Steam move: -14.7% | Drop: 3.82 → 3.26 (-14.7%) | Strong drop >8% | 1180 snapshots | EARLY
12:53:35	2026-02-11	1	23:30	Votuporanguense vs Taubate	1 (Votuporanguense)	2.01	2.22	-9.5%	28	95%	64.2	DA	LATE_SHARP	early	Late sharp move on 1 | Steam move: -9.5% | Drop: 2.22 → 2.01 (-9.5%) | Strong drop >8% | Market consensus — others rising | 28 snapshots | EARLY
12:53:35	2026-02-11	1	20:30	Foggia vs Picerno	1 (Foggia)	2.14	2.49	-14.1%	1316	70%	63.5	NE	STEAM	early	Steam move: -14.1% | Drop: 2.49 → 2.14 (-14.1%) | Strong drop >8% | 1316 snapshots | EARLY
12:45:41	2026-02-14	4	21:00	Maldonado vs Progreso	2 (Progreso)	2.58	2.99	-13.7%	122	70%	62.9	NE	STEAM	early	Steam move: -13.7% | Drop: 2.99 → 2.58 (-13.7%) | Strong drop >8% | 122 snapshots | EARLY
06:39:17	2026-02-11	1	14:45	Esteghlal F.C. vs Al Hussein	2 (Al Hussein)	3.41	3.94	-13.5%	708	70%	62.5	NE	STEAM	early	Steam move: -13.5% | Drop: 3.94 → 3.41 (-13.5%) | Strong drop >8% | 708 snapshots | EARLY
12:53:35	2026-02-11	1	21:00	Napoli vs Como	2 (Como)	2.75	3.17	-13.2%	1132	70%	62.2	NE	STEAM	early	Steam move: -13.2% | Drop: 3.17 → 2.75 (-13.2%) | Strong drop >8% | 1132 snapshots | EARLY
12:45:41	2026-02-16	6	19:00	Tychy vs Odra Opole	2 (Odra Opole)	2.85	3.27	-12.8%	118	70%	61.5	NE	STEAM	early	Steam move: -12.8% | Drop: 3.27 → 2.85 (-12.8%) | Strong drop >8% | 118 snapshots | EARLY
12:53:35	2026-02-11	1	18:00	Polokwane vs AmaZulu	2 (AmaZulu)	2.88	3.30	-12.7%	1254	70%	61.4	NE	STEAM	early	Steam move: -12.7% | Drop: 3.30 → 2.88 (-12.7%) | Strong drop >8% | 1254 snapshots | EARLY
12:45:41	2026-02-16	6	21:00	Coventry vs Middlesbrough	2 (Middlesbrough)	3.12	3.56	-12.4%	118	70%	60.8	NE	STEAM	early	Steam move: -12.4% | Drop: 3.56 → 3.12 (-12.4%) | Strong drop >8% | 118 snapshots | EARLY
12:45:41	2026-02-14	4	17:00	Cukaricki vs Vojvodina	2 (Vojvodina)	2.46	2.80	-12.1%	120	70%	60.4	NE	STEAM	early	Steam move: -12.1% | Drop: 2.80 → 2.46 (-12.1%) | Strong drop >8% | 120 snapshots | EARLY
12:53:35	2026-02-11	1	20:30	Casertana vs Crotone	2 (Crotone)	2.88	3.27	-11.9%	1316	70%	60.1	NE	STEAM	early	Steam move: -11.9% | Drop: 3.27 → 2.88 (-11.9%) | Strong drop >8% | 1316 snapshots | EARLY
12:45:41	2026-02-12	2	02:30	Inter Bogotá vs Dep. Cali	1 (Inter Bogotá)	2.63	2.98	-11.7%	120	70%	59.8	NE	STEAM	early	Steam move: -11.7% | Drop: 2.98 → 2.63 (-11.7%) | Strong drop >8% | 120 snapshots | EARLY
12:53:35	2026-02-11	1	19:00	Sampdoria vs Palermo	2 (Palermo)	2.25	2.53	-11.1%	1317	70%	58.7	NE	STEAM	early	Steam move: -11.1% | Drop: 2.53 → 2.25 (-11.1%) | Strong drop >8% | 1317 snapshots | EARLY
12:45:41	2026-02-12	2	20:30	Antwerp vs Anderlecht	1 (Antwerp)	2.70	3.03	-10.9%	123	70%	58.4	NE	STEAM	early	Steam move: -10.9% | Drop: 3.03 → 2.70 (-10.9%) | Strong drop >8% | 123 snapshots | EARLY
12:45:41	2026-02-15	5	13:00	UTA Arad vs FC Botosani	2 (FC Botosani)	2.57	2.88	-10.8%	120	70%	58.2	NE	STEAM	early	Steam move: -10.8% | Drop: 2.88 → 2.57 (-10.8%) | Strong drop >8% | 120 snapshots | EARLY
