alerted_at;match_key;home;away;kick_off;signal_type;bet;odds;opening_odds;pct_change;confidence;edge;snapshots;stake_model;stake;result;profit;resolved_at;reason
2026-02-08T12:38:49.478433;Sohar|Sur Club;Sohar;Sur Club;14:20;STEAM;1;1.9;2.05;-0.0732;0.7;0.0732;211;flat;1.0;;;;Steam move: odds dropped -7.3% | Sustained odds drop: 2.05 → 1.90 (-7.3%) | Other outcomes rising while this drops — market consensus | 211 snapshots — robust data
2026-02-08T12:38:49.482431;A.C.D. Nardo|Citta di Fasano;A.C.D. Nardo;Citta di Fasano;14:30;STEAM;2;2.38;2.8;-0.15;0.7;0.15;179;flat;1.0;;;;Steam move: odds dropped -15.0% | Sustained odds drop: 2.80 → 2.38 (-15.0%) | Strong drop >8% | 179 snapshots — robust data
2026-02-08T12:38:49.485909;AS Fap|Atlantic;AS Fap;Atlantic;14:30;STEAM;1;2.24;2.61;-0.1418;0.7;0.1418;211;flat;1.0;;;;Steam move: odds dropped -14.2% | Sustained odds drop: 2.61 → 2.24 (-14.2%) | Strong drop >8% | 211 snapshots — robust data
2026-02-08T12:38:49.490034;Atletico Ascoli|San Marino Calcio;Atletico Ascoli;San Marino Calcio;14:30;STEAM;1;1.51;1.61;-0.0621;0.7;0.0621;189;flat;1.0;;;;Steam move: odds dropped -6.2% | Sustained odds drop: 1.61 → 1.51 (-6.2%) | Other outcomes rising while this drops — market consensus | 189 snapshots — robust data
2026-02-08T12:38:49.492782;Excelsior Maassluis|Spakenburg;Excelsior Maassluis;Spakenburg;14:30;STEAM;2;1.93;2.07;-0.0676;0.7;0.0676;172;flat;1.0;loss;-1.0;2026-02-08T12:38:50.332616;Steam move: odds dropped -6.8% | Sustained odds drop: 2.07 → 1.93 (-6.8%) | Other outcomes rising while this drops — market consensus | 172 snapshots — robust data
2026-02-08T12:38:49.498182;G.A. Eagles|Telstar;G.A. Eagles;Telstar;14:30;STEAM;1;1.79;1.9;-0.0579;0.7;0.0579;179;flat;1.0;;;;Steam move: odds dropped -5.8% | Sustained odds drop: 1.90 → 1.79 (-5.8%) | Other outcomes rising while this drops — market consensus | 179 snapshots — robust data
2026-02-08T12:38:49.501287;GVVV|HFC;GVVV;HFC;14:30;STEAM;1;1.79;1.91;-0.0628;0.7;0.0628;171;flat;1.0;win;0.79;2026-02-08T12:38:50.337276;Steam move: odds dropped -6.3% | Sustained odds drop: 1.91 → 1.79 (-6.3%) | Other outcomes rising while this drops — market consensus | 171 snapshots — robust data
2026-02-08T12:38:49.503966;Habay La Neuve|Namur;Habay La Neuve;Namur;14:30;STEAM;1;1.55;1.66;-0.0663;0.7;0.0663;211;flat;1.0;;;;Steam move: odds dropped -6.6% | Sustained odds drop: 1.66 → 1.55 (-6.6%) | Other outcomes rising while this drops — market consensus | 211 snapshots — robust data
2026-02-08T12:38:49.507333;Jaro|AC Oulu;Jaro;AC Oulu;14:30;STEAM;2;1.71;1.89;-0.0952;0.7;0.0952;172;flat;1.0;win;0.71;2026-02-08T12:38:50.344718;Steam move: odds dropped -9.5% | Sustained odds drop: 1.89 → 1.71 (-9.5%) | Strong drop >8% | 172 snapshots — robust data
2026-02-08T12:38:49.511140;Le Mans W|Saint-Malo W;Le Mans W;Saint-Malo W;14:30;STEAM;1;2.13;2.34;-0.0897;0.7;0.0897;211;flat;1.0;;;;Steam move: odds dropped -9.0% | Sustained odds drop: 2.34 → 2.13 (-9.0%) | Strong drop >8% | 211 snapshots — robust data
