time	date	kick_off	match	bet	tip	odds	opening	drop_pct	confidence	stake	tier	snapshots	status	reason
00:50:21	2026-02-22	16:00	Sp. Subotica vs Radnicki 1923	HOME	1	2.75	3.24	15.1	80	4%	1	539	PENDING	Drop 15.1% | Conf 80% | 539 snaps
00:50:21	2026-02-22	16:00	Vilaverdense vs Chaves B	HOME	1	1.87	2.19	14.6	80	4%	1	227	PENDING	Drop 14.6% | Conf 80% | 227 snaps
00:50:21	2026-02-22	16:00	Valadares Gaia W vs Sporting W	DRAW	X	3.24	3.9	16.9	80	2%	2	207	PENDING	Drop 16.9% | Conf 80% | 207 snaps
00:50:21	2026-02-22	16:30	Hearts of Oak vs Berekum Chelsea	DRAW	X	3.27	4.2	22.1	85	4%	1	280	PENDING	Drop 22.1% | Conf 85% | 280 snaps
00:50:21	2026-02-22	16:30	Utrillas vs Almudevar	DRAW	X	2.65	3.0	11.7	80	2%	2	218	PENDING	Drop 11.7% | Conf 80% | 218 snaps
00:50:21	2026-02-22	16:45	Den Haag W vs Utrecht W	HOME	1	2.88	4.19	31.3	85	4%	1	250	PENDING	Drop 31.3% | Conf 85% | 250 snaps
00:50:21	2026-02-22	16:45	Excelsior W vs Hera United W	HOME	1	2.38	2.96	19.6	80	4%	1	250	PENDING	Drop 19.6% | Conf 80% | 250 snaps
00:50:21	2026-02-22	16:45	Sonseca vs Cazalegas	HOME	1	2.48	2.88	13.9	80	4%	1	214	PENDING	Drop 13.9% | Conf 80% | 214 snaps
00:50:21	2026-02-22	17:30	Paks vs Gyor	HOME	1	2.41	2.87	16.0	80	4%	1	549	PENDING	Drop 16.0% | Conf 80% | 549 snaps
00:50:21	2026-02-22	19:15	Araba vs Tzeirey Tamra	HOME	1	1.82	2.09	12.9	80	4%	1	274	PENDING	Drop 12.9% | Conf 80% | 274 snaps
00:50:21	2026-02-23	00:00	UNAM Pumas vs Monterrey	HOME	1	2.49	2.97	16.2	80	4%	1	441	PENDING	Drop 16.2% | Conf 80% | 441 snaps
00:50:21	2026-02-23	00:30	D. Puerto Montt vs Copiapo	HOME	1	2.11	2.53	16.6	80	4%	1	441	PENDING	Drop 16.6% | Conf 80% | 441 snaps
00:50:21	2026-02-23	17:45	Videoton vs Kecskemeti TE	HOME	1	2.26	2.72	16.9	80	4%	1	439	PENDING	Drop 16.9% | Conf 80% | 439 snaps
00:50:21	2026-02-23	20:30	El Gouna vs Arab Contractors	HOME	1	2.54	3.02	15.9	80	4%	1	351	PENDING	Drop 15.9% | Conf 80% | 351 snaps
00:50:21	2026-02-23	22:00	Cucuta vs Deportes Tolima	HOME	1	2.48	2.96	16.2	85	4%	1	439	PENDING	Drop 16.2% | Conf 85% | 439 snaps
00:50:21	2026-02-23	23:00	Cruzeiro W vs Santos W	HOME	1	1.52	2.18	30.3	90	5%	1	440	PENDING	Drop 30.3% | Conf 90% | 440 snaps
00:50:21	2026-02-25	21:00	San Martin S.J. vs Deportivo Madryn	DRAW	X	2.8	3.5	20.0	80	4%	1	315	PENDING	Drop 20.0% | Conf 80% | 315 snaps
00:50:21	2026-02-27	16:00	Kamaz vs Arsenal Tula	HOME	1	1.87	2.4	22.1	95	5%	1	156	PENDING	Drop 22.1% | Conf 95% | 156 snaps
00:50:21	2026-02-27	18:30	SG Dynamo Dresden vs Darmstadt	HOME	1	2.74	3.1	11.6	80	4%	1	123	PENDING	Drop 11.6% | Conf 80% | 123 snaps
00:50:21	2026-02-27	20:00	Clermont vs Dunkerque	HOME	1	2.84	3.35	15.2	80	4%	1	142	PENDING	Drop 15.2% | Conf 80% | 142 snaps
00:50:21	2026-02-28	15:00	Empoli vs Cesena	HOME	1	2.35	2.65	11.3	80	4%	1	75	PENDING	Drop 11.3% | Conf 80% | 75 snaps
